樺	1-4-10
鞄	1-9-5
株	1-4-6
兜	2-9-2
竃	2-3-14
蒲	2-3-10
釜	2-2-8
鎌	1-8-10
噛	1-3-12
鴨	1-5-11
栢	1-4-6
茅	2-3-5
萱	2-3-9
粥	1-3-9
刈	1-2-2
苅	2-3-4
瓦	4-5-1
乾	1-8-3
侃	1-2-6
冠	2-2-7
寒	2-3-9
刊	1-3-2
勘	1-9-2
勧	1-11-2
巻	2-6-3
喚	1-3-9
堪	1-3-9
姦	2-3-6
完	2-3-4
官	2-3-5
寛	2-3-10
干	4-3-1
幹	1-8-5
患	2-7-4
感	2-9-4
慣	1-3-11
憾	1-3-13
換	1-3-9
敢	1-8-4
柑	1-4-5
桓	1-4-6
棺	1-4-8
款	1-8-4
歓	1-11-4
汗	1-3-3
漢	1-3-10
澗	1-3-12
潅	1-3-11
環	1-4-13
甘	4-5-2
監	2-10-5
看	3-4-5
竿	2-6-3
管	2-6-8
簡	2-6-12
緩	1-6-9
缶	2-2-4
翰	1-8-8
肝	1-4-3
艦	1-6-15
莞	2-3-7
観	1-11-7
諌	1-7-8
貫	2-4-7
還	3-3-13
鑑	1-8-15
間	3-8-4
閑	3-8-4
関	3-8-6
陥	1-3-7
韓	1-8-10
館	1-8-8
舘	1-8-8
丸	4-3-4
含	2-2-5
岸	2-3-5
巌	2-3-17
玩	1-4-4
癌	3-5-12
眼	1-5-6
岩	2-3-5
翫	1-11-4
贋	3-2-17
雁	3-2-10
頑	1-4-9
顔	1-9-9
願	1-10-9
企	2-2-4
伎	1-2-4
危	3-4-2
喜	2-3-9
器	2-6-9
基	2-6-5
奇	2-3-5
嬉	1-3-12
寄	2-3-8
岐	1-3-4
希	2-2-5
幾	4-12-4
忌	2-3-4
揮	1-3-9
机	1-4-2
旗	1-4-10
既	1-5-5
期	1-8-4
棋	1-4-8
棄	2-2-11
機	1-4-12
帰	1-2-8
毅	1-11-4
気	3-4-2
汽	1-3-4
畿	4-15-4
祈	1-4-4
季	2-5-3
稀	1-5-7
紀	1-6-3
徽	1-3-14
規	1-4-7
記	1-7-3
貴	2-5-7
起	3-7-3
軌	1-7-2
輝	1-6-9
飢	1-8-2
騎	1-10-8
鬼	2-6-4
亀	2-2-9
偽	1-2-9
儀	1-2-13
妓	1-3-4
宜	2-3-5
戯	1-11-4
技	1-3-4
擬	1-3-14
欺	1-8-4
犠	1-4-13
疑	1-7-7
祇	1-4-4
義	2-3-10
蟻	1-6-13
誼	1-7-8
議	1-7-13
掬	1-3-8
菊	2-3-8
鞠	1-9-8
吉	2-3-3
吃	1-3-3
喫	1-3-9
桔	1-4-6
橘	1-4-12
詰	1-7-6
砧	1-5-5
杵	1-4-4
黍	2-5-7
却	1-5-2
客	2-3-6
脚	1-4-7
虐	3-4-5
逆	3-3-6
丘	4-5-2
久	4-3-1
仇	1-2-2
休	1-2-4
及	4-3-1
吸	1-3-3
宮	2-3-7
弓	4-3-1
急	2-2-7
救	1-7-4
朽	1-4-2
求	4-7-3
汲	1-3-4
泣	1-3-5
灸	2-3-4
球	1-4-7
究	2-3-4
窮	2-3-12
笈	2-6-3
級	1-6-3
糾	1-6-3
給	1-6-6
旧	1-1-4
牛	4-4-3
去	2-3-2
居	3-3-5
巨	3-3-2
拒	1-3-5
拠	1-3-5
挙	2-4-6
渠	2-8-4
虚	3-4-7
許	1-7-4
距	1-7-5
鋸	1-8-8
漁	1-3-11
禦	2-12-5
魚	2-2-9
亨	2-2-5
享	2-2-6
京	2-2-6
供	1-2-6
侠	1-2-6
僑	1-2-12
兇	2-4-2
競	1-10-10
共	2-4-2
凶	3-2-2
協	1-2-6
匡	3-2-4
卿	1-3-9
叫	1-3-3
喬	2-4-8
境	1-3-11
峡	1-3-6
強	1-3-8
彊	1-3-13
怯	1-3-5
恐	2-6-4
恭	2-4-6
挟	1-3-6
教	1-7-4
橋	1-4-12
況	1-3-5
狂	1-3-4
狭	1-3-6
矯	1-5-12
胸	1-4-6
脅	2-2-8
興	2-14-2
蕎	2-3-12
郷	1-3-8
鏡	1-8-11
響	2-11-9
饗	2-13-9
驚	2-12-10
仰	1-2-4
凝	1-2-14
尭	2-2-6
暁	1-4-8
業	2-5-8
局	3-3-4
曲	4-6-2
極	1-4-9
玉	4-5-1
桐	1-4-6
粁	1-6-3
僅	1-2-10
勤	1-10-2
均	1-3-4
巾	4-3-3
錦	1-8-8
斤	3-2-2
欣	1-4-4
欽	1-8-4
琴	2-8-4
禁	2-8-5
禽	2-2-11
筋	2-6-6
緊	2-9-6
芹	2-3-4
菌	2-3-8
衿	1-5-4
襟	1-5-13
謹	1-7-10
近	3-3-4
金	2-2-6
吟	1-3-4
銀	1-8-6
九	4-2-4
倶	1-2-8
句	3-2-3
区	3-2-2
狗	1-3-5
玖	1-4-3
矩	1-5-5
苦	2-3-5
躯	1-7-4
駆	1-10-4
駈	1-10-5
駒	1-10-5
具	2-5-3
愚	2-9-4
虞	3-4-9
喰	1-3-9
空	2-3-5
偶	1-2-9
寓	2-3-9
遇	3-3-9
隅	1-3-9
串	4-7-3
櫛	1-4-13
釧	1-8-3
屑	3-3-7
屈	3-3-5
掘	1-3-8
窟	2-3-10
沓	2-4-4
靴	1-9-4
轡	2-19-3
窪	2-3-11
熊	2-10-4
隈	1-3-9
粂	2-3-6
栗	2-6-4
繰	1-6-13
桑	2-2-8
鍬	1-8-9
勲	2-11-4
君	3-4-3
薫	2-3-13
訓	1-7-3
群	1-7-6
軍	2-2-7
郡	1-7-3
卦	1-6-2
袈	2-5-6
祁	1-4-3
係	1-2-7
傾	1-2-11
刑	1-4-2
兄	2-3-2
啓	2-8-3
圭	2-3-3
珪	1-4-6
型	2-6-3
契	2-6-3
形	1-4-3
径	1-3-5
恵	2-6-4
慶	3-3-12
慧	2-8-7
憩	2-12-4
掲	1-3-8
携	1-3-10
敬	1-8-4
景	2-4-8
桂	1-4-6
渓	1-3-8
畦	1-5-6
稽	1-5-11
系	2-1-6
経	1-6-5
継	1-6-7
繋	2-11-6
罫	2-5-8
茎	2-3-5
荊	2-3-6
蛍	2-5-6
計	1-7-2
詣	1-7-6
警	2-12-7
軽	1-7-5
頚	1-5-9
鶏	1-8-11
芸	2-3-4
迎	3-3-4
鯨	1-11-8
劇	1-13-2
戟	1-8-4
撃	2-11-4
激	1-3-13
隙	1-3-10
桁	1-4-6
傑	1-2-11
欠	2-2-2
決	1-3-4
潔	1-3-12
穴	2-3-2
結	1-6-6
血	4-6-2
訣	1-7-4
月	3-2-2
件	1-2-4
倹	1-2-8
倦	1-2-9
健	1-2-9
兼	2-3-7
券	2-6-2
剣	1-8-2
喧	1-3-9
圏	3-3-9
堅	2-9-3
嫌	1-3-10
建	3-3-6
憲	2-3-13
懸	2-16-4
拳	2-6-4
捲	1-3-9
検	1-4-8
権	1-4-11
牽	2-2-9
犬	4-4-4
献	1-9-4
研	1-5-4
硯	1-5-7
絹	1-6-7
県	2-6-3
肩	2-1-7
見	2-5-2
謙	1-7-10
賢	2-9-7
軒	1-7-3
遣	3-3-10
鍵	1-8-9
険	1-3-8
顕	1-9-9
験	1-10-8
鹸	1-11-8
元	2-1-3
原	3-2-8
厳	3-5-12
幻	1-3-1
弦	1-3-5
減	1-3-9
源	1-3-10
玄	2-2-3
現	1-4-7
絃	1-6-5
舷	1-6-5
言	2-1-6
諺	1-7-9
限	1-3-6
乎	4-5-3
個	1-2-8
古	2-2-3
呼	1-3-5
固	3-3-5
姑	1-3-5
孤	1-3-6
己	4-3-1
庫	3-3-7
弧	1-3-6
戸	2-1-3
故	1-5-4
枯	1-4-5
湖	1-3-9
狐	1-3-6
糊	1-6-9
袴	1-5-6
股	1-4-4
胡	1-4-5
菰	2-3-9
虎	3-4-4
誇	1-7-6
跨	1-7-6
鈷	1-8-5
雇	2-1-11
顧	1-12-9
鼓	1-9-4
五	4-4-1
互	4-4-1
伍	1-2-4
午	2-2-2
呉	2-5-2
吾	2-4-3
娯	1-3-7
後	1-3-6
御	1-3-9
悟	1-3-7
梧	1-4-7
檎	1-4-13
瑚	1-4-9
碁	2-6-7
語	1-7-7
誤	1-7-7
護	1-7-13
醐	1-7-9
乞	2-2-1
鯉	1-11-7
交	2-2-4
佼	1-2-6
侯	1-2-7
候	1-2-8
倖	1-2-8
光	2-4-2
公	2-2-2
功	1-3-2
効	1-6-2
勾	3-2-2
厚	3-2-7
口	4-3-1
向	3-3-3
后	3-2-4
喉	1-3-9
坑	1-3-4
垢	1-3-6
好	1-3-3
孔	1-3-1
孝	3-4-3
宏	2-3-4
工	4-3-1
巧	1-3-2
巷	2-4-5
幸	2-3-5
広	3-3-2
庚	3-3-5
康	3-3-8
弘	1-3-2
恒	1-3-6
慌	1-3-9
抗	1-3-4
拘	1-3-5
控	1-3-8
攻	1-3-4
昂	2-4-4
晃	2-4-6
更	4-7-1
杭	1-4-4
校	1-4-6
梗	1-4-7
構	1-4-10
江	1-3-3
洪	1-3-6
浩	1-3-7
港	1-3-9
溝	1-3-10
甲	4-5-1
皇	2-5-4
硬	1-5-7
稿	1-5-10
糠	1-6-11
紅	1-6-3
紘	1-6-4
絞	1-6-6
綱	1-6-8
耕	1-6-4
考	3-4-2
肯	2-4-4
肱	1-4-4
腔	1-4-8
膏	2-2-12
航	1-6-4
荒	2-3-6
行	1-3-3
衡	1-3-13
講	1-7-10
貢	2-3-7
購	1-7-10
郊	1-6-3
酵	1-7-7
鉱	1-8-5
砿	1-5-5
鋼	1-8-8
閤	3-8-6
降	1-3-7
項	1-3-9
香	2-5-4
高	2-2-8
鴻	1-3-14
剛	1-8-2
劫	1-5-2
号	2-3-2
合	2-2-4
壕	1-3-14
拷	1-3-6
濠	1-3-14
豪	2-2-12
轟	2-7-14
麹	3-7-8
克	2-2-5
刻	1-6-2
告	2-4-3
国	3-3-5
穀	1-10-4
酷	1-7-7
鵠	1-7-11
黒	2-7-4
獄	1-3-11
漉	1-3-11
腰	1-4-9
甑	1-11-5
忽	2-4-4
惚	1-3-8
骨	2-6-4
狛	1-3-5
込	3-3-2
此	1-4-2
頃	1-2-9
今	2-2-2
困	3-3-4
坤	1-3-5
墾	2-13-3
婚	1-3-8
恨	1-3-6
懇	2-13-4
昏	2-4-4
昆	2-4-4
根	1-4-6
梱	1-4-7
混	1-3-8
痕	3-5-6
紺	1-6-5
艮	4-6-1
魂	1-4-10
些	2-6-2
佐	1-2-5
叉	4-3-1
唆	1-3-7
嵯	1-3-10
左	3-2-3
差	3-7-3
査	2-4-5
沙	1-3-4
瑳	1-4-10
砂	1-5-4
詐	1-7-5
鎖	1-8-10
裟	2-7-6
坐	4-7-2
座	3-3-7
挫	1-3-7
債	1-2-11
催	1-2-11
再	4-6-1
最	2-4-8
哉	3-6-3
